Esperado (Gabarito),Previsto (Rede)
20,20
21,21
22,22
23,23
24,24
25,25
0,0
1,9
2,2
3,3
4,4
5,19
6,6
7,7
8,8
9,19
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,7
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,17
1,1
2,17
3,1
4,8
5,8
6,17
7,1
8,8
9,9
10,10
11,8
12,12
13,1
14,1
15,15
16,1
17,1
18,18
19,8
20,17
21,21
22,22
23,23
24,24
25,8
0,0
1,1
2,2
3,3
4,4
5,5
6,16
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,16
15,15
16,16
17,10
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,0
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,0
1,1
2,14
3,3
4,4
5,5
6,6
7,7
8,9
9,9
10,2
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,15
1,17
2,2
3,14
4,17
5,5
6,17
7,12
8,9
9,9
10,10
11,11
12,12
13,12
14,16
15,15
16,16
17,17
18,18
19,19
20,12
21,21
22,22
23,23
24,24
25,25
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,17
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,24
22,22
23,23
24,24
25,25
0,7
1,1
2,25
3,15
4,4
5,5
6,6
7,0
8,8
9,9
10,10
11,11
12,15
13,16
14,6
15,15
16,16
17,17
18,18
19,19
20,22
21,21
22,22
23,17
24,19
25,25
